# cec_bench v1.0+46074dd  2026-06-13T16:34:06
===BURST_CSV_BEGIN===
# stream: 2048 frames in 126064 us (~16.2 kSPS link), 472 underruns, dropcount 0->0 (0 lost); nominal 25 kSPS
us,drop,i3,i4,i5,vrail,vcc,i8
11160.0,0,0.2169,0.2448,0.2469,12.0060,4.8312,0.2287
11200.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
11240.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
11320.0,0,0.3054,0.3440,0.3491,12.0034,4.8264,0.3202
11360.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
11400.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
11480.0,0,0.1757,0.1944,0.1980,12.0043,4.8254,0.1860
11520.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
11560.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
11640.0,0,0.2154,0.2189,0.2286,12.0060,4.8181,0.2165
11680.0,0,0.1971,0.2082,0.2148,12.0069,4.8172,0.2073
11720.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
11760.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
11840.0,0,0.2291,0.2372,0.2438,12.0069,4.8111,0.2378
11880.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
11920.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
12000.0,0,0.1894,0.2021,0.1996,12.0060,4.8105,0.1951
12040.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
12080.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
12160.0,0,0.2215,0.2295,0.2316,12.0052,4.8083,0.2241
12200.0,0,0.2276,0.2372,0.2453,12.0052,4.8080,0.2333
12240.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
12280.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
12360.0,0,0.3558,0.3867,0.3888,12.0008,4.8096,0.3599
12400.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
12440.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
12520.0,0,0.2718,0.2967,0.3033,11.9982,4.8111,0.2760
12560.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
12600.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
12680.0,0,0.1635,0.1777,0.1828,12.0000,4.8160,0.1707
12720.0,0,0.1452,0.1593,0.1584,12.0008,4.8172,0.1524
12760.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
12800.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
12880.0,0,0.1147,0.1166,0.1217,12.0034,4.8215,0.1127
12920.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
